Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-69-A59K-01A-11R-A262-07	0.033268340403831	0	0.304482005658482	0.103017017646062	0	0.117633210128506	0.0714622185873708	0	0.0130163700516965	0	0.0139235916443502	0	0.0104419460818493	0.0192076251223553	0.0649724458805556	0.116469990240963	0.0964625503705213	0	0.0303673342459292	0	0	0.00527535393752711	0.12	0.112997970029558	1.01975453825354
TCGA-05-5429-01A-01R-1628-07	0.0481238744403907	0	0.181499515014722	0	0	0.378525709765303	0	0.0101808827691578	0.042169801197354	0	0	0.0162860051266205	0.000241635757143887	0.0534673362179101	0.0182790612865734	0.122604134254867	0.0502811659599567	0.00903597980879169	0	0.0682150239393165	0	0.0010898744618929	0.02	0.165910175459027	1.01150380636478
TCGA-44-5645-01A-01R-A278-07	0.0169963842566117	0.0216713135019316	0.0198770131286033	0.0234087808400548	0	0.290356707698262	0.0169493698589423	0	0.0226550170617496	0	0	0.0175563308725565	0.0447131231892293	0.125387467387408	0.0175491905303356	0.0687466558109208	0.204576006936357	0.0280134146475992	0.0815432242794386	0	0	0	0	0.359477591891189	0.933922607618045
TCGA-44-2655-01A-01R-0946-07	0.0377954135751959	0.0334186249397371	0.0978896169050337	0.0279051275713783	0	0.22080433167989	0.0120271261650231	0.0290593490582947	0.0183616209826903	0	0	0.0321889062938101	0.00546477956991678	0.0339111234005851	0.0299391377309126	0.174599150229321	0.152953563850472	0.00645564322207924	0.0676255356646698	0	0.01255941133994	0.00704153782105054	0	0.303327355561745	0.954564413687931
TCGA-55-8092-01A-11R-2241-07	0	0.0283049497485799	0.406498266459585	0.213939490072592	0	0	0.0362189200790905	0.00977995122669612	0.0605570521532194	0	0	0.0113584891407596	0	0.0441276965085349	0.101802534484419	0.068468738657099	0	0	0.0189439114694248	0	0	0	0	0.54354612050327	0.851908065677576
TCGA-MP-A4T9-01A-11R-A24X-07	0.0177542129315402	0	0.00323037897655687	0.0790008269038252	0	0.215834516196189	0	0.0219239306464023	0.00168384733210559	0	0	0.022035015602725	0.0177592009474869	0.160445757344224	0.0771110851656484	0.246857671073492	0.0371391502864311	0.0239328159916126	0.0609331694907238	0	0	0.0143584211110379	0	0.309879405725056	0.96074659441755
TCGA-86-8359-01A-11R-2326-07	0.00244977092347943	0	0.0789093410478163	0.312472721588414	0	0.0956895530865822	0.0504580394542971	0.088337313092952	0.105246931394245	0	0	0.0118038682212168	0	0.143000550076479	0.0487077855419903	0.0188413772631308	0	0	0	0.00607810362404876	0	0.038004644685348	0	0.258766891698818	0.992209400644412
TCGA-55-A493-01A-11R-A24H-07	0.0553723928752134	0	0.0608965907022407	0.111568670363965	0	0.180406103941776	0.0869815155843225	0	0.0132978622656582	0	0	0.0624475029801133	0.00650429008114227	0.127985027644733	0.0909045002612246	0.156959682597806	0.0316090781819295	0	0.0139985491239916	0	0	0.00106823339588379	0	0.445969833248639	0.894393285251751
TCGA-97-8179-01A-11R-2287-07	0.0360914251526542	0	0.00580437863663589	0.068597478597539	0	0.0612391875365213	0	0.0729698537677835	0.0380746734612386	0	0	0.0379969977625426	0.0197035823940956	0.198712841787716	0.0440295958471611	0.180029350182607	0.10861352702434	0.0166480020240348	0.0709375178061339	0	0.0361830125102183	0.00436857550877738	0.02	0.167993925926616	1.02042002098349
TCGA-50-5946-02A-11R-2090-07	0.0476662223451191	0	0.220389627420088	0.157504707046304	0	0.128781900456861	0.0537009401165425	0.010449114302543	0.0210034353800555	0	0	0.0162123647325921	0	0.100981995175672	0.0802552088363247	0.0896465809891046	0.0219861648179769	0	0.0469783425259545	0	0	0.00444339585486162	0	0.22259012773544	0.986358613392567
TCGA-05-5420-01A-01R-1628-07	0.0365506932226871	0	0.114994227532632	0.0508378055737503	0	0.128401745413363	0.0456577339305383	0.0052615353812443	0	0.010938699848012	0	0.0238910778181749	0	0.128665897079589	0.149142231815617	0.168959196842807	0.0693523070445045	0	0.0503371392552438	0	0	0.0170097092418372	0	0.571419992798628	0.831720703089705
TCGA-97-8172-01A-11R-2287-07	0	0.131235228542726	0.0966858862802101	0.0640598178291958	0	0.264535436953413	0	0	0.0235003367026054	0	0	0.0342378191560326	0.00583180451669364	0.0957515336109509	0.0291872327807402	0.116409167614641	0.0347963105545709	0.00355911275651653	0.100210312701703	0	0	0	0	0.457041858659323	0.892508711620131
TCGA-78-7159-01A-11R-2039-07	0.0410951773190294	0	0.219386919542347	0.108846685945885	0	0.108959468781956	0	0.00365330045431699	0.0609779966987083	0	0	0.0417237890316777	0	0.157234690024323	0.0665760854185389	0.121624176883648	0	0.0264593462112685	0.0117019169935517	0	0	0.03176044669475	0	0.249706511119191	0.978356296418008
TCGA-44-2661-01A-01R-1107-07	0	0.00998677610340694	0.107168589496115	0.0975586542925749	0	0.125576029836326	0.0103017654081605	0	0.024613342496361	0.0348431949005693	0	0.0487683875344604	0.0336678180895343	0	0.0690990303814854	0.169293759853626	0.111567975185525	0	0.111903764193406	0	0.0403512563995155	0.00529965582893326	0	0.564743524566686	0.845517219399309
TCGA-NJ-A4YI-01A-11R-A262-07	0	0.00353688608499874	0.025180059957252	0.0269952001249684	0	0.114448803597933	0	0.0295684974416228	0.0271450414633642	0	0.0211509400024549	0.00116312468512227	0.127488367161232	0.14201562402516	0.0174722550581689	0.263715885888411	0.140342375166395	0.00302502102903863	0.0446835126064227	0	0	0.0120684057074556	0	0.240103129232173	0.994025811954056
TCGA-64-5779-01A-01R-1628-07	0.0311511916346325	0	0.390936539763974	0.0933276586676636	0	0.244774088174999	0.0648464756866747	0	0.0178941168555697	0.00273303880961225	0	0	0	0.0859963191254162	0.0391168606622461	0.020572502298692	0	0.00268999592131476	0.0059612123992056	0	0	0	0	0.305575122116733	0.95693337292328
TCGA-50-5935-01A-11R-1755-07	0.00703916804493058	0.0039489288895377	0.0595094685893988	0.0327181661182503	0	0.278896696243334	0.013483375968688	0.0157066969322941	0.0661899490236397	0.000978748464925022	0.00773513205337434	0	0	0.186208933816644	0.0542337492235713	0.12749580433334	0.0532018105765375	0.0629258518705265	0.0285731906922529	0	0	0.00115432915875479	0	0.382087268279481	0.924934084380033
TCGA-44-2665-01A-01R-0946-07	0	0	0.00539647654097908	0.0168459247400379	0	0.248472099702114	0.0118727272217606	0	0.00276284507166928	0	0.00935074780806967	0	0.0210355935002479	0.223385060476554	0.00830466554061297	0.210151299394611	0.133050144616962	0.0533247924272464	0.0560476229591354	0	0	0	0	0.262092155407682	0.987515133180055
TCGA-97-7937-01A-11R-2170-07	0.0630283811730346	0	0.0752918567316095	0.0535159032863087	0	0.0676933163604782	0	0.00939717456477416	0.0533697178783517	0.0135441393250326	0.00187650679655508	0	0	0.333851250324678	0.0522923906091067	0.153840443956905	0.0362822229527561	0	0.0743126777954815	0.00530411084719126	0	0.00639990739773747	0	0.232297199578893	1.00314002857434
TCGA-38-4628-01A-01R-1206-07	0.00785418577021921	0	0.0328296757013813	0.0282666541641655	0	0.0781650677572487	0	0.0188303279704041	0.0253639833268398	0	0	0.0276901773458413	0.0741391699126382	0.126331810625146	0.00442830305054742	0.345492133470231	0.100470229768764	0.0199791319238907	0.0968081751816709	0	0	0.0133509740310125	0	0.365729204711506	0.935438287943744
TCGA-73-4676-01A-01R-1755-07	0.0114950825341973	0	0.0063341995585329	0.0343314155666065	0	0.191685400606666	0.00660042164732666	0.00146752692963226	0.00685299368244166	0	0	0	0.064939607768181	0.163543785854256	0	0.293819593163621	0.00504367470233474	0.0736791542734847	0.114700425987202	0	0	0.0255067177255183	0	0.319102877681013	0.957109751053108
TCGA-L9-A8F4-01A-11R-A39D-07	0.0267727137870416	0	0.0959072181314088	0.164011141800394	0	0.126051432207272	0.0549127502412589	0.0195487345595716	0.0709497120574429	0	0	0.0377291973781359	0	0.18080275316167	0.0767812071553609	0.124227205099581	0.00864612044705085	0	0.0136598139738112	0	0	0	0	0.537583557364199	0.84897522251294
TCGA-44-3918-01A-01R-1107-07	0.00996870604378156	0	0.145647290962366	0.149500359250856	0	0.113214274632267	0.0882327399372148	0.0233438615367757	0	0	0.0292476061825694	0	0	0.118645804497196	0.0971120451650819	0.185562615907577	0.00811611486657785	0	0.0201902119681253	0	0	0.0112183690496124	0	0.548800897009042	0.847511961119248
TCGA-44-A47G-01A-21R-A24H-07	0.0176456272644283	0.00039471138407828	0.130542813758245	0.11502816584107	0	0.21742010578915	0.0456878960118078	0	0.0185874675809442	0.00613495869632012	0	0	0.00706701658485875	0.123413001034586	0.0635234590993035	0.130956549991682	0.0582346015475715	0.0135937731393799	0.0500546626947673	0	0	0.00171518958180704	0	0.455741164519633	0.892275891204455
TCGA-97-7547-01A-11R-2039-07	0.0788306304554588	0	0.120182745147108	0.0645776686211029	0	0.154592544471771	0.00808561766050166	0.0315567367039411	0.0755512523703509	0	0	0.00418289797431382	0.0225876037728936	0.106154044838012	0.0542186750874896	0.18256351889748	0.0282927459138904	0	0.0686233180856855	0	0	0	0	0.247161172214704	0.976781217032637
TCGA-05-4422-01A-01R-1206-07	0.0131696463923073	0.00101909720812339	0.2434668528584	0.250707240810802	0	0.0969334613975542	0.0138238587674838	0.0470279769642368	0.0460459484552299	0	0	0.0157184379526565	0.0400213093560504	0.0437380548395474	0.0531884298717615	0.117779811082086	0.0158113918479595	0	0.0015484821958013	0	0	0	0	0.335642000579923	0.94399181735414
TCGA-97-A4M2-01A-12R-A24X-07	0.00935915671578396	0.0124336223827136	0.0609795018366405	0.101787305499587	0	0.115678182439236	0	0.0494104602118686	0.0194359923173829	0	0.000239652370472434	0.0357682610582942	0.0188387430613	0.212703322840038	0.0442381804170848	0.163401949310755	0.0593173423898684	0.00491606226292762	0.0842741721258562	0	0	0.00721809276019021	0	0.444822757531655	0.895228310741081
TCGA-J2-8194-01A-11R-2241-07	0.0149904424755868	0	0.0424751491218903	0.0195153690128667	0	0.233088945696138	0.0252180527277315	0	0	0	0.0180037997489311	0.00437889948232076	0.0632200615058549	0.0398120724299515	0.0794763067853849	0.204613928191371	0.13976328206093	0	0.0447728728784734	0	0	0.0706708178825688	0.02	0.16550795076268	1.01535771974629
